EUR,ENERGY,timestamp
500000000000000000000000,0,1691657761.2268639
497900000000000000000000,70000000,1691657999.2579148
497285000000000000000000,111000000,1691658525.7685933
496085000000000000000000,151000000,1691659014.3517306
494855000000000000000000,233000000,1691659128.9554658
494795000000000000000000,235000000,1691659778.810577
494615000000000000000000,247000000,1691660279.1543248
492515000000000000000000,317000000,1691662141.8574345
489905000000000000000000,404000000,1691663921.8255177
487445000000000000000000,486000000,1691666244.289574
484925000000000000000000,570000000,1691667899.0573266
