EUR,ENERGY,timestamp
500000000000000000000000,0,1691657723.3351824
498560000000000000000000,48000000,1691658162.8552394
497030000000000000000000,99000000,1691658950.3017642
496835000000000000000000,112000000,1691659713.332754
495755000000000000000000,148000000,1691659838.7713482
495575000000000000000000,160000000,1691660084.2929807
494405000000000000000000,199000000,1691661085.8038325
493625000000000000000000,251000000,1691664349.4991255
492125000000000000000000,301000000,1691664861.1450262
491360000000000000000000,352000000,1691668033.6731806
