EUR,ENERGY,timestamp
500000000000000000000000,0,1691657526.5417109
499670000000000000000000,22000000,1691657885.4829588
496790000000000000000000,118000000,1691658591.9520152
493250000000000000000000,236000000,1691659533.2589235
489140000000000000000000,373000000,1691659868.987309
487745000000000000000000,466000000,1691660703.7702594
486635000000000000000000,503000000,1691661129.788694
486500000000000000000000,512000000,1691661263.9466834
483020000000000000000000,628000000,1691662953.0611565
482735000000000000000000,647000000,1691663819.3752117
479735000000000000000000,747000000,1691665485.7272348
476105000000000000000000,868000000,1691666787.1881971
474980000000000000000000,943000000,1691668887.8738978
