seller_id,buyer_id,traded_energy,traded_price,traded_rate,bid_id,timestamp
Market Maker,Liege,76.0,2280.0,30.0,901840c2-2a88-4b42-a9b3-107d4300cbc0,1691667566.5103345
Liege,B22,43.0,1290.0,30.0,18f5ee0f-476c-4867-a5cd-5f21768f341c,1691667634.2333512
Market Maker,Liege,43.0,1290.0,30.0,030a23d5-ff13-4643-8306-b926b7a98a49,1691667702.4313974
Liege,B23,81.0,2430.0,30.0,fec991e0-cdcb-4df2-9d15-d830a17a3f08,1691667771.2247179
Market Maker,Liege,81.0,2430.0,30.0,54347f4a-20e1-4733-b1a6-f215433552fa,1691667837.8981173
Liege,B15,76.0,2280.0,30.0,91ea85e2-3886-4599-9763-d7708b99e8af,1691667905.4326873
Market Maker,Liege,76.0,2280.0,30.0,eea70d3f-cd7a-47e0-b326-96bd72b613c8,1691667972.711958
Liege,B10,50.0,1500.0,30.0,a2fc9429-e41d-4773-a159-2e77e3c5e812,1691668039.9059455
Market Maker,Liege,50.0,1500.0,30.0,05aa01ee-9d76-4f93-a837-41d3e04f7d19,1691668109.1820219
Liege,B31,11.0,330.0,30.0,29553f00-e9a6-41e5-b367-d767940f69af,1691668177.3225367
Market Maker,Liege,11.0,330.0,30.0,ec6379d5-05c9-4ae6-9a1b-6a37ef98c82d,1691668246.2454169
Liege,B13,2.0,60.0,30.0,074209ee-dcef-4624-ac6e-e959c5f8d5e9,1691668314.9889584
Market Maker,Liege,2.0,60.0,30.0,c491f84a-49ba-4e6c-8730-e34e8dd33d79,1691668385.3621695
Liege,B42,44.0,1320.0,30.0,946c3bf0-82d5-4fe2-a45c-c001642ca02a,1691668458.814493
Market Maker,Liege,44.0,1320.0,30.0,a4e76275-d6cf-4416-8c14-5db649fc4106,1691668531.217244
Liege,B34,1.0,30.0,30.0,bc29874c-619d-4554-b9ce-dd616364f644,1691668602.8461516
Market Maker,Liege,1.0,30.0,30.0,4d455447-7d80-4791-8ce9-986932fed81c,1691668673.3946946
Liege,B09,7.0,210.0,30.0,2ddefa11-1738-44d7-8ae7-64db7440bc01,1691668745.3858304
Market Maker,Liege,7.0,210.0,30.0,1fd4a72b-a664-46d9-8efa-a270ce2bcda2,1691668819.6201463
Liege,B36,50.0,1500.0,30.0,6c491d00-eda8-485d-b652-a2c81f2e862b,1691668894.1242692
Market Maker,Liege,50.0,1500.0,30.0,4b85b439-acbc-40be-a4e9-db00bd0a5909,1691668968.7192743
