seller_id,buyer_id,traded_energy,traded_price,traded_rate,bid_id,timestamp
B06,B34,19.0,285.0,15.0,7191b23b-2c64-4c71-ab14-c26ab47f1cc4,1691663388.6564946
B06,B28,42.0,630.0,15.0,adeede60-c16e-4e91-ac72-090e577e1f75,1691663443.4251075
Liege,B31,11.0,330.0,30.0,5d19f426-d8bc-463d-af3e-2168dc85064f,1691663499.8026633
Market Maker,Liege,11.0,330.0,30.0,b77c0bc9-8e62-4f69-ac6a-5dcaf58e188d,1691663557.8554115
Liege,B13,9.0,270.0,30.0,7217093b-ed0f-4c01-a3c9-92102a99402e,1691663614.0870285
Market Maker,Liege,9.0,270.0,30.0,2efc2300-423b-4f65-bb2a-3528b590d99f,1691663665.1062539
Liege,B22,44.0,1320.0,30.0,425cdb88-1527-4ce7-bc9b-d26b10b1b026,1691663715.8065295
Market Maker,Liege,44.0,1320.0,30.0,521ff65e-e28e-46e6-af2b-ca2b288d5ae8,1691663765.2861552
Liege,B36,100.0,3000.0,30.0,afb88be4-0f18-46dc-b350-15c1901c0574,1691663823.5854435
Market Maker,Liege,100.0,3000.0,30.0,0d5aa9f0-0647-4cff-9c80-fe8cad17eb1c,1691663873.8544002
Liege,B15,82.0,2460.0,30.0,96d467cb-c6cd-4535-8f9e-b1c6d784865d,1691663926.8747
