EUR,ENERGY,timestamp
500000000000000000000000,0,1691657533.1617842
500090000000000000000000,0,1691657540.1593437
500000000000000000000000,0,1691657547.2465703
500300000000000000000000,0,1691657553.407462
500000000000000000000000,0,1691657560.5227988
502580000000000000000000,0,1691657567.4758692
500000000000000000000000,0,1691657575.2636275
500090000000000000000000,0,1691657582.6351113
500000000000000000000000,0,1691657591.1534643
500540000000000000000000,0,1691657599.1790414
500000000000000000000000,0,1691657607.9391224
500330000000000000000000,0,1691657625.8069668
500000000000000000000000,0,1691657644.5920074
501320000000000000000000,0,1691657663.6459079
500000000000000000000000,0,1691657683.0106518
501350000000000000000000,0,1691657702.033542
500000000000000000000000,0,1691657723.337181
501440000000000000000000,0,1691657741.927695
500000000000000000000000,0,1691657761.2288618
502100000000000000000000,0,1691657781.0883505
500000000000000000000000,0,1691657801.4765239
500090000000000000000000,0,1691657821.9359117
500000000000000000000000,0,1691657842.987382
500780000000000000000000,0,1691657863.8371327
500000000000000000000000,0,1691657885.4839966
502880000000000000000000,0,1691657907.1786034
500000000000000000000000,0,1691658102.443596
500750000000000000000000,0,1691658131.1310928
500000000000000000000000,0,1691658162.856233
501530000000000000000000,0,1691658191.9075532
500000000000000000000000,0,1691658219.8770921
500060000000000000000000,0,1691658248.2722085
500000000000000000000000,0,1691658277.0187826
501410000000000000000000,0,1691658306.730206
500000000000000000000000,0,1691658336.1519425
500300000000000000000000,0,1691658366.351995
500000000000000000000000,0,1691658397.879719
500180000000000000000000,0,1691658429.0710526
500000000000000000000000,0,1691658460.6224916
502580000000000000000000,0,1691658492.7141204
500000000000000000000000,0,1691658525.7705948
501200000000000000000000,0,1691658558.2551463
500000000000000000000000,0,1691658591.9550016
503540000000000000000000,0,1691658633.4894848
500000000000000000000000,0,1691658680.923247
500090000000000000000000,0,1691658716.139715
500000000000000000000000,0,1691658752.290817
502190000000000000000000,0,1691658788.3176365
500000000000000000000000,0,1691658825.3143146
500420000000000000000000,0,1691658867.671418
500000000000000000000000,0,1691659036.2032895
500090000000000000000000,0,1691659059.5928783
500000000000000000000000,0,1691659082.6016333
501320000000000000000000,0,1691659105.2539868
500000000000000000000000,0,1691659128.956466
500060000000000000000000,0,1691659153.0219996
500000000000000000000000,0,1691659176.1180673
501410000000000000000000,0,1691659199.8585997
500000000000000000000000,0,1691659223.8097525
500300000000000000000000,0,1691659247.851336
500000000000000000000000,0,1691659272.3645005
500060000000000000000000,0,1691659297.5679638
500000000000000000000000,0,1691659322.7797709
500540000000000000000000,0,1691659347.9137907
500000000000000000000000,0,1691659373.8866334
500420000000000000000000,0,1691659399.8800993
500000000000000000000000,0,1691659426.456837
500090000000000000000000,0,1691659452.4564204
500000000000000000000000,0,1691659479.1262188
502280000000000000000000,0,1691659506.0834577
500000000000000000000000,0,1691659533.2609265
504110000000000000000000,0,1691659560.5722663
500000000000000000000000,0,1691659588.0735486
502670000000000000000000,0,1691659615.8127637
500000000000000000000000,0,1691659643.9771771
500300000000000000000000,0,1691659677.1185133
500000000000000000000000,0,1691659713.333754
501080000000000000000000,0,1691659749.2827308
500000000000000000000000,0,1691659900.2036812
500780000000000000000000,0,1691659929.717557
500000000000000000000000,0,1691659959.5429635
500420000000000000000000,0,1691659989.696098
500000000000000000000000,0,1691660020.677122
501290000000000000000000,0,1691660051.8642123
500000000000000000000000,0,1691660084.2939904
501170000000000000000000,0,1691660117.1483457
500000000000000000000000,0,1691660148.9966872
500330000000000000000000,0,1691660181.2048013
500000000000000000000000,0,1691660213.4204998
502280000000000000000000,0,1691660246.0122416
500000000000000000000000,0,1691660279.1543248
502100000000000000000000,0,1691660312.6376715
500000000000000000000000,0,1691660346.2216594
500060000000000000000000,0,1691660380.1698253
500000000000000000000000,0,1691660414.537186
502670000000000000000000,0,1691660452.7233253
500000000000000000000000,0,1691660488.7551436
500210000000000000000000,0,1691660523.5932646
500000000000000000000000,0,1691660559.0810254
500090000000000000000000,0,1691660594.5667272
500000000000000000000000,0,1691660631.0073833
501470000000000000000000,0,1691660666.8994043
500000000000000000000000,0,1691660703.7712963
501110000000000000000000,0,1691660742.2210374
500000000000000000000000,0,1691660786.9017756
500570000000000000000000,0,1691660826.2451763
500000000000000000000000,0,1691660868.9877224
500300000000000000000000,0,1691660912.2098353
500000000000000000000000,0,1691661174.430177
501320000000000000000000,0,1691661219.2849474
500000000000000000000000,0,1691661263.9473386
503480000000000000000000,0,1691661309.463377
500000000000000000000000,0,1691661354.7899764
500420000000000000000000,0,1691661400.4637861
500000000000000000000000,0,1691661446.770411
502280000000000000000000,0,1691661492.6403024
500000000000000000000000,0,1691661539.8866582
500630000000000000000000,0,1691661585.397362
500000000000000000000000,0,1691661638.173867
500300000000000000000000,0,1691661689.4734669
500000000000000000000000,0,1691661731.86056
500270000000000000000000,0,1691661773.8453252
500000000000000000000000,0,1691661815.6969657
500060000000000000000000,0,1691661873.9141905
500000000000000000000000,0,1691661957.6482356
500090000000000000000000,0,1691662055.5386326
500000000000000000000000,0,1691662141.8594406
502610000000000000000000,0,1691662225.441663
500000000000000000000000,0,1691662311.3879886
502640000000000000000000,0,1691662396.2448266
500000000000000000000000,0,1691662479.9324522
500090000000000000000000,0,1691662568.12094
500000000000000000000000,0,1691662653.3701868
500690000000000000000000,0,1691662769.2474082
500000000000000000000000,0,1691663494.3016627
500330000000000000000000,0,1691663551.8073618
500000000000000000000000,0,1691663610.417742
500270000000000000000000,0,1691663661.5572062
500000000000000000000000,0,1691663712.250941
501320000000000000000000,0,1691663761.744285
500000000000000000000000,0,1691663819.3772683
503000000000000000000000,0,1691663870.3318334
500000000000000000000000,0,1691663921.826517
502460000000000000000000,0,1691663975.849672
500000000000000000000000,0,1691664029.2440338
500930000000000000000000,0,1691664083.276113
500000000000000000000000,0,1691664136.2925265
501350000000000000000000,0,1691664189.168
500000000000000000000000,0,1691664242.6407304
500300000000000000000000,0,1691664295.5640984
500000000000000000000000,0,1691664349.5001633
501500000000000000000000,0,1691664402.296819
500000000000000000000000,0,1691664456.5815258
502610000000000000000000,0,1691664513.6030607
500000000000000000000000,0,1691664569.3988936
500240000000000000000000,0,1691664630.1585326
500000000000000000000000,0,1691665136.0702784
500060000000000000000000,0,1691665194.6645174
500000000000000000000000,0,1691665251.866038
502550000000000000000000,0,1691665309.4493248
500000000000000000000000,0,1691665367.9619837
501290000000000000000000,0,1691665426.739801
500000000000000000000000,0,1691665485.7290652
503630000000000000000000,0,1691665544.897378
500000000000000000000000,0,1691665607.6431973
500690000000000000000000,0,1691665669.710736
500000000000000000000000,0,1691665730.9472358
500480000000000000000000,0,1691665793.2687824
500000000000000000000000,0,1691665852.7346716
500330000000000000000000,0,1691665915.5689836
500000000000000000000000,0,1691665977.0860171
500330000000000000000000,0,1691666045.4611623
500000000000000000000000,0,1691666113.0932128
501680000000000000000000,0,1691666178.190513
500000000000000000000000,0,1691666244.290617
502520000000000000000000,0,1691666307.8723042
500000000000000000000000,0,1691666397.0691283
500270000000000000000000,0,1691666468.042642
500000000000000000000000,0,1691666532.0991836
500540000000000000000000,0,1691666595.9063761
500000000000000000000000,0,1691666983.3812375
500060000000000000000000,0,1691667060.753255
500000000000000000000000,0,1691667167.1997042
500300000000000000000000,0,1691667275.1184099
500000000000000000000000,0,1691667357.8757117
500690000000000000000000,0,1691667425.246928
500000000000000000000000,0,1691667492.0656273
502280000000000000000000,0,1691667560.080532
500000000000000000000000,0,1691667628.4051702
501290000000000000000000,0,1691667696.7786484
500000000000000000000000,0,1691667765.7984357
502430000000000000000000,0,1691667832.1790965
500000000000000000000000,0,1691667899.0583272
502280000000000000000000,0,1691667966.9321733
500000000000000000000000,0,1691668033.6741815
501500000000000000000000,0,1691668103.0870333
500000000000000000000000,0,1691668171.4304688
500330000000000000000000,0,1691668240.185345
500000000000000000000000,0,1691668309.2228417
500060000000000000000000,0,1691668379.153337
500000000000000000000000,0,1691668451.108895
501320000000000000000000,0,1691668524.824785
500000000000000000000000,0,1691668595.9597888
500030000000000000000000,0,1691668667.4346278
500000000000000000000000,0,1691668739.0535202
500210000000000000000000,0,1691668813.8717194
500000000000000000000000,0,1691668887.8748977
501500000000000000000000,0,1691668962.310739
