EUR,ENERGY,timestamp
500000000000000000000000,0,1691657502.4666321
499760000000000000000000,0,1691657506.329966
499565000000000000000000,29000000,1691657683.0076554
498215000000000000000000,74000000,1691658752.288822
496025000000000000000000,147000000,1691659479.1242201
493745000000000000000000,223000000,1691660213.4204998
491465000000000000000000,299000000,1691661446.769407
489185000000000000000000,375000000,1691663439.1148906
488555000000000000000000,417000000,1691664029.2429948
487625000000000000000000,448000000,1691665078.6761613
487325000000000000000000,468000000,1691666113.0922127
485645000000000000000000,524000000,1691667492.0646243
