EUR,ENERGY,timestamp
500000000000000000000000,0,1691657591.1524642
499460000000000000000000,18000000,1691658025.73763
499220000000000000000000,34000000,1691658397.878719
499040000000000000000000,40000000,1691659322.7797709
498500000000000000000000,58000000,1691660786.9007401
497930000000000000000000,77000000,1691661539.8856566
497300000000000000000000,98000000,1691663384.1294096
497015000000000000000000,117000000,1691666532.0981836
496475000000000000000000,135000000,1691666852.7408955
496190000000000000000000,154000000,1691668595.9587834
