EUR,ENERGY,timestamp
500000000000000000000000,0,1691657644.5900292
498680000000000000000000,44000000,1691658277.0177822
497270000000000000000000,91000000,1691659176.1180673
495860000000000000000000,138000000,1691660631.0073833
494390000000000000000000,187000000,1691660954.7402093
494165000000000000000000,202000000,1691661039.865498
493685000000000000000000,234000000,1691664136.291539
492335000000000000000000,279000000,1691664685.9054208
492200000000000000000000,288000000,1691665013.568701
492050000000000000000000,298000000,1691665607.6431973
491360000000000000000000,321000000,1691668451.107894
